operation_id,start_unix_ns,end_unix_ns,latency_ms,node_count,is_global,success
op-150,1783280971506181300,1783280971530066900,23.8856,16,true,true
op-151,1783280971526435200,1783280971551726700,25.2915,16,true,true
op-152,1783280971546878900,1783280971572286200,25.4073,16,true,true
op-153,1783280971567183100,1783280971592186500,25.0034,16,true,true
op-154,1783280971587566300,1783280971610227800,22.6615,16,true,true
op-155,1783280971608008600,1783280971630396900,22.3883,16,true,true
op-156,1783280971628191200,1783280971650760200,22.5690,16,true,true
op-157,1783280971648877400,1783280971671527100,22.6497,16,true,true
op-158,1783280971669620400,1783280971692763300,23.1429,16,true,true
op-159,1783280971690237200,1783280971713105400,22.8682,16,true,true
op-160,1783280971710589600,1783280971732144100,21.5545,16,true,true
op-161,1783280971731140900,1783280971753576400,22.4355,16,true,true
op-162,1783280971751529700,1783280971774414900,22.8852,16,true,true
op-163,1783280971772028000,1783280971793601400,21.5734,16,true,true
op-164,1783280971792598100,1783280971815049300,22.4512,16,true,true
op-165,1783280971813046000,1783280971835338100,22.2921,16,true,true
op-166,1783280971833503400,1783280971854123400,20.6200,16,true,true
op-167,1783280971854123400,1783280971874822700,20.6993,16,true,true
op-168,1783280971874822700,1783280971895591500,20.7688,16,true,true
op-169,1783280971895089000,1783280971917590700,22.5017,16,true,true
op-170,1783280971915757400,1783280971936425000,20.6676,16,true,true
op-171,1783280971936425000,1783280971957500700,21.0757,16,true,true
op-172,1783280971956701400,1783280971977537900,20.8365,16,true,true
op-173,1783280971977035400,1783280971998008900,20.9735,16,true,true
op-174,1783280971997506300,1783280972019200800,21.6945,16,true,true
op-175,1783280972018196300,1783280972040177700,21.9814,16,true,true
op-176,1783280972038672000,1783280972060766400,22.0944,16,true,true
op-177,1783280972058883700,1783280972080979400,22.0957,16,true,true
op-178,1783280972079473600,1783280972101959900,22.4863,16,true,true
op-179,1783280972099806700,1783280972122341100,22.5344,16,true,true
op-180,1783280972120400300,1783280972144556400,24.1561,16,true,true
op-181,1783280972141022000,1783280972162470900,21.4489,16,true,true
op-182,1783280972161293600,1783280972181873900,20.5803,16,true,true
op-183,1783280972181873900,1783280972203603900,21.7300,16,true,true
op-184,1783280972202678100,1783280972224324700,21.6466,16,true,true
op-185,1783280972223321400,1783280972244700600,21.3792,16,true,true
op-186,1783280972243745100,1783280972265238800,21.4937,16,true,true
op-187,1783280972264235400,1783280972287048700,22.8133,16,true,true
op-188,1783280972284964400,1783280972306980600,22.0162,16,true,true
op-189,1783280972305441100,1783280972328027400,22.5863,16,true,true
op-190,1783280972325479900,1783280972350486000,25.0061,16,true,true
op-191,1783280972346188400,1783280972369971100,23.7827,16,true,true
op-192,1783280972366617700,1783280972388454400,21.8367,16,true,true
op-193,1783280972386948400,1783280972413284300,26.3359,16,true,true
op-194,1783280972407029200,1783280972429560300,22.5311,16,true,true
op-195,1783280972427723600,1783280972449225700,21.5021,16,true,true
op-196,1783280972448117100,1783280972473541800,25.4247,16,true,true
op-197,1783280972468323800,1783280972490522600,22.1988,16,true,true
op-198,1783280972488712500,1783280972509321900,20.6094,16,true,true
op-199,1783280972509321900,1783280972529871800,20.5499,16,true,true
op-200,1783280972529871800,1783280972550453100,20.5813,16,true,true
op-201,1783280972550453100,1783280972573389300,22.9362,16,true,true
op-202,1783280972570920000,1783280972592526500,21.6065,16,true,true
op-203,1783280972591523200,1783280972613608500,22.0853,16,true,true
op-204,1783280972612184500,1783280972633222300,21.0378,16,true,true
op-205,1783280972632719700,1783280972653195000,20.4753,16,true,true
op-206,1783280972653195000,1783280972674729100,21.5341,16,true,true
op-207,1783280972673732300,1783280972695983400,22.2511,16,true,true
op-208,1783280972694087800,1783280972715107700,21.0199,16,true,true
op-209,1783280972714605100,1783280972735638000,21.0329,16,true,true
op-210,1783280972735135500,1783280972756701600,21.5661,16,true,true
op-211,1783280972755753500,1783280972777325000,21.5715,16,true,true
op-212,1783280972776327400,1783280972800746700,24.4193,16,true,true
op-213,1783280972796993000,1783280972818900500,21.9075,16,true,true
op-214,1783280972817394900,1783280972840175000,22.7801,16,true,true
op-215,1783280972838098900,1783280972859799800,21.7009,16,true,true
op-216,1783280972858474600,1783280972880321900,21.8473,16,true,true
op-217,1783280972878981000,1783280972900575300,21.5943,16,true,true
op-218,1783280972899571700,1783280972923005700,23.4340,16,true,true
op-219,1783280972919681100,1783280972941957600,22.2765,16,true,true
op-220,1783280972940220400,1783280972962654400,22.4340,16,true,true
op-221,1783280972960454800,1783280972982028900,21.5741,16,true,true
op-222,1783280972981174400,1783280973003685700,22.5113,16,true,true
op-223,1783280973001537100,1783280973023435200,21.8981,16,true,true
op-224,1783280973022431800,1783280973047476900,25.0451,16,true,true
op-225,1783280973042895800,1783280973065153300,22.2575,16,true,true
op-226,1783280973063245500,1783280973088076500,24.8310,16,true,true
op-227,1783280973083464700,1783280973105971200,22.5065,16,true,true
op-228,1783280973103984900,1783280973125978400,21.9935,16,true,true
op-229,1783280973124468200,1783280973146846000,22.3778,16,true,true
op-230,1783280973144819500,1783280973166808400,21.9889,16,true,true
op-231,1783280973165299300,1783280973187706000,22.4067,16,true,true
op-232,1783280973185685300,1783280973206447800,20.7625,16,true,true
